[2017-03-21 09:28:09] db_10.26.3.45_for_detail: sql[select * from account.tZJDJXMMX where CXBZ!=2 and DJLB in(1, 2) and             
FSRQ = to_char(sysdate, 'yyyymmdd') and YXRQ=to_char(sysdate, 'yyyymmdd') and             
ROUND(TO_NUMBER(to_date(FSSJ,'hh24:mi:ss')-to_date('16:00:00','hh24:mi:ss'))*24*60*60)<0] is not correct!
[2017-03-21 10:06:06] N1,N2,比例,说明
[2017-03-21 10:06:06] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:06:16] N1,N2,比例,说明
[2017-03-21 10:06:16] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:06:26] N1,N2,比例,说明
[2017-03-21 10:06:26] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:06:36] N1,N2,比例,说明
[2017-03-21 10:06:36] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:06:46] N1,N2,比例,说明
[2017-03-21 10:06:46] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:06:56] N1,N2,比例,说明
[2017-03-21 10:06:56] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:07:06] N1,N2,比例,说明
[2017-03-21 10:07:06] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:07:16] N1,N2,比例,说明
[2017-03-21 10:07:16] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:07:26] N1,N2,比例,说明
[2017-03-21 10:07:26] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:07:36] N1,N2,比例,说明
[2017-03-21 10:07:36] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:07:46] N1,N2,比例,说明
[2017-03-21 10:07:46] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:07:56] N1,N2,比例,说明
[2017-03-21 10:07:56] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:08:06] N1,N2,比例,说明
[2017-03-21 10:08:06] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:08:17] N1,N2,比例,说明
[2017-03-21 10:08:17] 472,552,0.86,交易时间待申报数据过多或没有申报数据
[2017-03-21 10:08:27] N1,N2,比例,说明
[2017-03-21 10:08:27] 472,552,0.86,交易时间待申报数据过多或没有申报数据
